Year,JulianDay,Hour,Minute,Second,Latitude,Longitude,Depth(km)
2014,59,13,35,49.6783,-1.36727,-78.43587,16.3763
2014,59,19,37,47.0097,-2.39884,-79.56075,80.5762
2014,60,0,50,53.2660,-1.15335,-79.44662,25.0172
2014,60,7,58,38.3080,0.05415,-78.78213,99.1008
2014,61,1,0,50.3087,-3.53218,-79.49075,64.9453
2014,61,5,32,44.5217,0.18275,-78.68163,10.7756
2014,62,11,22,49.4276,-1.17472,-78.14125,13.2669
2014,62,18,1,51.4180,-1.25653,-78.42088,16.5406
2014,62,19,56,28.0709,0.11115,-78.45363,5.3007
2014,64,15,17,24.7382,-0.61472,-78.35287,8.4734
2014,65,2,18,52.6155,-0.14859,-77.73837,10.8257
2014,65,11,23,18.4467,-2.06157,-79.72388,82.6359
2014,65,12,22,5.4646,-0.62277,-78.32938,8.2108
2014,66,14,32,40.6971,-1.65206,-78.32088,158.1332
2014,67,1,0,24.1607,-0.13388,-78.73300,100.0257
2014,67,10,9,53.3510,0.05704,-78.44837,8.7383
2014,67,13,45,57.1236,0.79472,-77.98225,-0.8658
2014,67,16,24,18.6591,-1.12044,-79.38863,77.3177
2014,69,12,42,18.5372,0.60648,-79.73675,22.9985
2014,70,17,0,35.8072,-1.02710,-77.99800,0.0190
2014,71,4,37,30.6616,0.24479,-78.28812,9.8629
2014,71,6,37,17.2939,-3.16076,-79.66737,50.2114
2014,72,6,51,13.9265,0.80605,-77.94962,3.7841
2014,72,11,27,17.3094,0.28859,-78.36037,7.8503
2014,72,15,32,42.8757,-0.96456,-78.10000,12.0448
2014,72,22,0,19.2626,-3.14651,-79.87163,43.2119
2014,73,2,59,34.1092,0.27801,-78.33750,0.0253
2014,73,6,11,47.0910,-2.51801,-80.58175,30.8974
2014,73,7,41,3.7110,0.30243,-78.31325,17.5002
2014,73,9,30,30.5716,0.30445,-78.30925,17.4502
2014,73,15,36,18.3297,0.28619,-78.36537,-3.0247
2014,73,18,55,57.7422,0.37341,-78.45688,9.1374
2014,73,21,52,50.3081,0.28859,-78.35225,1.3503
2014,74,5,35,54.8960,-1.67997,-78.37500,144.8326
2014,74,20,25,34.9782,-1.48080,-79.96000,31.1617
2014,75,2,16,44.2183,-0.77845,-79.85125,25.0219
2014,75,21,47,7.7627,-0.36001,-78.66550,13.8625
2014,76,0,33,28.2905,0.31602,-78.27138,12.2377
2014,76,2,1,41.4395,-1.99134,-78.91163,24.7502
2014,77,2,22,6.1831,0.11694,-80.04025,16.4257
2014,78,7,37,6.8229,-1.33584,-79.16438,38.2518
2014,78,9,40,26.0291,-2.44511,-79.72762,61.9747
2014,80,18,32,59.0125,0.29362,-78.39638,0.5753
2014,80,21,45,58.3648,-1.84167,-80.21863,66.5539
2014,81,13,52,35.4569,-1.40300,-78.56937,11.8756
2014,81,15,47,49.6844,-2.73219,-79.63125,29.6026
2014,81,22,3,18.9197,0.59252,-79.35075,45.0236
2014,82,3,4,22.0488,-0.22221,-78.40650,-4.9745
2014,82,3,29,34.4250,-2.27098,-79.47150,83.2175
2014,82,12,4,42.5026,-1.02686,-78.31087,12.9315
2014,82,16,9,24.5644,-3.62167,-79.49275,69.6912
2014,83,8,59,32.7210,0.83727,-79.59138,12.8713
2014,83,10,26,20.0292,-2.05738,-80.04575,68.2860
2014,83,12,59,10.2201,-1.21739,-78.40000,12.7663
2014,83,17,8,32.2642,-2.34008,-79.50037,33.5530
2014,84,9,54,34.0460,-2.28217,-79.25225,25.3047
2014,84,9,56,27.3384,-2.30380,-79.23350,20.2416
2014,84,10,2,41.1088,-2.26555,-79.22775,22.8927
2014,84,10,4,51.6788,-2.30381,-79.21550,25.2291
2014,84,10,8,27.3889,-2.28395,-79.24912,33.8172
2014,84,10,12,25.5327,-2.26153,-79.23875,24.7428
2014,84,10,31,8.4551,-2.27914,-79.23862,21.8923
2014,84,10,32,58.3872,-2.27511,-79.21350,21.5549
2014,84,10,35,55.6724,-2.27399,-79.22000,23.6049
2014,84,10,48,52.7581,-2.29274,-79.19388,26.0794
2014,84,11,8,35.3789,-2.30747,-79.23212,28.3165
2014,84,11,11,43.9166,-2.26895,-79.21375,22.4926
2014,84,11,14,19.1963,-2.23445,-79.21337,14.7436
2014,84,11,18,22.5576,-2.29639,-79.20225,23.9418
2014,84,11,26,17.1291,-2.29526,-79.23387,25.0918
2014,84,11,33,36.0378,-2.26882,-79.22700,23.1051
2014,84,11,42,42.2605,-2.24982,-79.23737,20.2431
2014,84,11,46,28.4156,-2.28456,-79.22813,24.2921
2014,84,13,17,38.9579,-2.23734,-79.23000,14.5060
